,imdbrating,genre,metascore,internet_movie_database_rating,rotten_tomato_rating,metacritic_rating,budget
0,8.8,Action,74.0,8.8,87.0,74.0,160000000.0
1,7.0,Action,57.0,7.0,72.0,57.0,200000000.0
2,8.2,Mystery,63.0,8.2,68.0,63.0,80000000.0
3,7.5,Action,69.0,7.5,82.0,69.0,60000000.0
4,6.0,Comedy,30.0,6.0,11.0,30.0,80000000.0
5,6.4,Comedy,46.0,6.4,58.0,46.0,20000000.0
6,7.6,Action,66.0,7.6,76.0,66.0,30000000.0
7,8.0,Drama,79.0,8.0,85.0,79.0,13000000.0
8,7.5,Crime,74.0,7.5,92.0,74.0,37000000.0
9,7.7,Adventure,65.0,7.7,77.0,65.0,0.0
10,7.7,Comedy,45.0,7.7,54.0,45.0,14000000.0
11,7.7,Biography,95.0,7.7,96.0,95.0,40000000.0
12,6.6,Action,53.0,6.6,43.0,53.0,200000000.0
13,6.6,Action,53.0,6.6,43.0,53.0,100000000.0
14,6.6,Action,53.0,6.6,43.0,53.0,200000000.0
15,6.6,Action,53.0,6.6,43.0,53.0,100000000.0
16,6.4,Adventure,63.0,6.4,73.0,63.0,500000.0
17,6.8,Horror,52.0,6.8,66.0,52.0,1500000.0
18,7.7,Animation,71.0,7.7,89.0,71.0,260000000.0
19,7.0,Action,60.0,7.0,72.0,60.0,58000000.0
20,6.3,Horror,27.0,6.3,32.0,27.0,2000000.0
21,4.0,Action,20.0,4.0,5.0,20.0,150000000.0
22,8.1,Animation,75.0,8.1,99.0,75.0,165000000.0
23,6.3,Crime,61.0,6.3,66.0,61.0,20000000.0
24,8.3,Drama,80.0,8.3,92.0,80.0,6800000.0
25,4.5,Comedy,27.0,4.5,15.0,27.0,100000000.0
26,6.4,Drama,47.0,6.4,37.0,47.0,55000000.0
27,6.4,Adventure,53.0,6.4,51.0,53.0,200000000.0
28,7.6,Animation,72.0,7.6,81.0,72.0,69000000.0
29,7.6,Drama,80.0,7.6,95.0,80.0,38000000.0
30,6.0,Action,37.0,6.0,20.0,37.0,100000000.0
31,5.0,Action,58.0,5.0,47.0,58.0,68000000.0
32,5.8,Action,39.0,5.8,27.0,39.0,15000000.0
33,5.8,Action,39.0,5.8,27.0,39.0,125000000.0
34,6.9,Action,53.0,6.9,46.0,53.0,80000000.0
35,7.3,Drama,81.0,7.3,86.0,81.0,1000000.0
36,6.3,Action,46.0,6.3,52.0,46.0,117000000.0
37,5.4,Comedy,53.0,5.4,74.0,53.0,24000000.0
38,7.5,Biography,82.0,7.5,93.0,82.0,18000000.0
39,6.5,Action,45.0,6.5,42.0,45.0,80000000.0
40,6.7,Action,64.0,6.7,79.0,64.0,100000000.0
41,6.8,Action,49.0,6.8,51.0,49.0,170000000.0
42,6.5,Comedy,39.0,6.5,29.0,39.0,38000000.0
43,7.8,Action,67.0,7.8,81.0,67.0,0.0
44,8.2,Animation,92.0,8.2,98.0,92.0,200000000.0
45,7.3,Action,52.0,7.3,50.0,52.0,30000000.0
46,7.0,Comedy,72.0,7.0,85.0,72.0,8000000.0
47,8.0,Biography,88.0,8.0,94.0,88.0,15000000.0
48,7.8,Biography,79.0,7.8,91.0,79.0,25000000.0
