title,rated,released,runtime,director,writer,actors,plot,language,country,awards,metascore,imdbrating,imdbvotes,dvd,boxoffice,response,genre,star,budget,gross,year,internet_movie_database_rating,rotten_tomato_rating,metacritic_rating
Inception,PG-13,2010-07-16,148,Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","English, Japanese, French","United Kingdom, United States",Won 4 Oscars. 157 wins & 220 nominations total,74.0,8.8,2223702,07 Dec 2010,292576195.0,True,Action,Leonardo DiCaprio,160000000.0,836836967.0,2010,8.8,87.0,74.0
Iron Man 2,PG-13,2010-05-07,124,Jon Favreau,"Justin Theroux, Stan Lee, Don Heck","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","English, French, Russian",United States,Nominated for 1 Oscar. 7 wins & 44 nominations total,57.0,7.0,771885,17 Aug 2010,312433331.0,True,Action,Robert Downey Jr.,200000000.0,623933331.0,2010,7.0,72.0,57.0
Shutter Island,R,2010-02-19,138,Martin Scorsese,"Laeta Kalogridis, Dennis Lehane","Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","English, German",United States,11 wins & 66 nominations,63.0,8.2,1225928,08 Jun 2010,128012934.0,True,Mystery,Leonardo DiCaprio,80000000.0,294805697.0,2010,8.2,68.0,63.0
Scott Pilgrim vs. the World,PG-13,2010-08-13,112,Edgar Wright,"Michael Bacall, Edgar Wright, Bryan Lee O'Malley","Michael Cera, Mary Elizabeth Winstead, Kieran Culkin","In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",English,"United States, United Kingdom, Canada, Japan",17 wins & 64 nominations,69.0,7.5,409720,09 Nov 2010,32777690.0,True,Action,Michael Cera,60000000.0,48917974.0,2010,7.5,82.0,69.0
Grown Ups,PG-13,2010-06-25,102,Dennis Dugan,"Adam Sandler, Fred Wolf","Adam Sandler, Salma Hayek, Kevin James","After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend.","English, Spanish",United States,3 wins & 4 nominations,30.0,6.0,242283,09 Nov 2010,162001186.0,True,Comedy,Adam Sandler,80000000.0,271457301.0,2010,6.0,11.0,30.0
She's Out of My League,R,2010-03-12,104,Jim Field Smith,"Sean Anders, John Morris","Jay Baruchel, Alice Eve, T.J. Miller","An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.","English, Ukrainian",United States,1 nomination,46.0,6.4,134538,22 Jun 2010,32010860.0,True,Comedy,Jay Baruchel,20000000.0,49779728.0,2010,6.4,58.0,46.0
Kick-Ass,R,2010-04-16,117,Matthew Vaughn,"Jane Goldman, Matthew Vaughn, Mark Millar","Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",English,"United Kingdom, United States",19 wins & 62 nominations,66.0,7.6,545823,03 Aug 2010,48071303.0,True,Action,Aaron Taylor-Johnson,30000000.0,96188903.0,2010,7.6,76.0,66.0
Black Swan,R,2010-12-17,108,Darren Aronofsky,"Mark Heyman, Andres Heinz, John J. McLaughlin","Natalie Portman, Mila Kunis, Vincent Cassel","A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".","English, French, Italian",United States,Won 1 Oscar. 97 wins & 279 nominations total,79.0,8.0,734506,29 Mar 2011,106954678.0,True,Drama,Natalie Portman,13000000.0,329398046.0,2010,8.0,85.0,79.0
The Town,R,2010-09-17,125,Ben Affleck,"Peter Craig, Ben Affleck, Aaron Stockard","Ben Affleck, Rebecca Hall, Jon Hamm","A proficient group of thieves rob a bank and hold Claire, the assistant manager, hostage. Things begin to get complicated when one of the crew members falls in love with Claire.",English,United States,Nominated for 1 Oscar. 9 wins & 46 nominations total,74.0,7.5,375798,17 Dec 2010,92186262.0,True,Crime,Ben Affleck,37000000.0,154026136.0,2010,7.5,92.0,74.0
Harry Potter and the Deathly Hallows: Part 1,PG-13,2010-11-19,146,David Yates,"Steve Kloves, J.K. Rowling","Daniel Radcliffe, Emma Watson, Rupert Grint","As Harry, Ron, and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.","English, Latin","United Kingdom, United States",Nominated for 2 Oscars. 15 wins & 55 nominations total,65.0,7.7,519635,08 Dec 2009,296347721.0,True,Adventure,Daniel Radcliffe,0.0,977043483.0,2010,7.7,77.0,65.0
Flipped,PG,2010-09-10,90,Rob Reiner,"Rob Reiner, Andrew Scheinman, Wendelin Van Draanen","Madeline Carroll, Callan McAuliffe, Rebecca De Mornay",Two eighth-graders start to have feelings for each other despite being total opposites.,English,United States,2 wins & 2 nominations,45.0,7.7,87670,23 Nov 2010,1755212.0,True,Comedy,Madeline Carroll,14000000.0,4324817.0,2010,7.7,54.0,45.0
The Social Network,PG-13,2010-10-01,120,David Fincher,"Aaron Sorkin, Ben Mezrich","Jesse Eisenberg, Andrew Garfield, Justin Timberlake","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.","English, French",United States,Won 3 Oscars. 172 wins & 186 nominations total,95.0,7.7,670561,11 Jan 2011,96962694.0,True,Biography,Jesse Eisenberg,40000000.0,224920375.0,2010,7.7,96.0,95.0
Robin Hood,PG-13,2010-05-14,140,Ridley Scott,"Brian Helgeland, Ethan Reiff, Cyrus Voris","Russell Crowe, Cate Blanchett, Matthew Macfadyen","In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.","English, French, Ukrainian","United States, United Kingdom",1 win & 14 nominations,53.0,6.6,263540,21 Sep 2010,105269730.0,True,Action,Russell Crowe,200000000.0,321669741.0,2010,6.6,43.0,53.0
Robin Hood,PG-13,2010-05-14,140,Ridley Scott,"Brian Helgeland, Ethan Reiff, Cyrus Voris","Russell Crowe, Cate Blanchett, Matthew Macfadyen","In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.","English, French, Ukrainian","United States, United Kingdom",1 win & 14 nominations,53.0,6.6,263540,21 Sep 2010,105269730.0,True,Action,Taron Egerton,100000000.0,86493046.0,2010,6.6,43.0,53.0
Robin Hood,PG-13,2010-05-14,140,Ridley Scott,"Brian Helgeland, Ethan Reiff, Cyrus Voris","Russell Crowe, Cate Blanchett, Matthew Macfadyen","In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.","English, French, Ukrainian","United States, United Kingdom",1 win & 14 nominations,53.0,6.6,263540,21 Sep 2010,105269730.0,True,Action,Russell Crowe,200000000.0,321669741.0,2010,6.6,43.0,53.0
Robin Hood,PG-13,2010-05-14,140,Ridley Scott,"Brian Helgeland, Ethan Reiff, Cyrus Voris","Russell Crowe, Cate Blanchett, Matthew Macfadyen","In twelfth-century England, Robin Longstride and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.","English, French, Ukrainian","United States, United Kingdom",1 win & 14 nominations,53.0,6.6,263540,21 Sep 2010,105269730.0,True,Action,Taron Egerton,100000000.0,86493046.0,2010,6.6,43.0,53.0
Monsters,R,2010-12-03,94,Gareth Edwards,Gareth Edwards,"Scoot McNairy, Whitney Able, Mario Zuniga Benavides","Six years after Earth has suffered an alien invasion, a cynical journalist agrees to escort a shaken American tourist through an infected zone in Mexico to the safety of the U.S. border.","English, Spanish","United Kingdom, Mexico",Nominated for 1 BAFTA Film Award14 wins & 14 nominations total,63.0,6.4,91009,01 Feb 2011,237301.0,True,Adventure,Scoot McNairy,500000.0,5060438.0,2010,6.4,73.0,63.0
Insidious,PG-13,2011-04-01,103,James Wan,Leigh Whannell,"Patrick Wilson, Rose Byrne, Ty Simpkins",A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,English,"United States, Canada",8 wins & 15 nominations,52.0,6.8,296975,12 Jul 2011,54009150.0,True,Horror,Patrick Wilson,1500000.0,99557032.0,2011,6.8,66.0,52.0
Tangled,PG,2010-11-24,100,"Nathan Greno, Byron Howard","Dan Fogelman, Jacob Grimm, Wilhelm Grimm","Mandy Moore, Zachary Levi, Donna Murphy","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","English, German",United States,Nominated for 1 Oscar. 10 wins & 41 nominations total,71.0,7.7,431922,29 Mar 2011,200821936.0,True,Animation,Mandy Moore,260000000.0,592462816.0,2010,7.7,89.0,71.0
RED,PG-13,2010-10-15,111,Robert Schwentke,"Jon Hoeber, Erich Hoeber, Warren Ellis","Bruce Willis, Helen Mirren, Morgan Freeman","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants.","English, Russian","United States, China",4 wins & 19 nominations,60.0,7.0,301897,25 Jan 2011,90380162.0,True,Action,Bruce Willis,58000000.0,199006387.0,2010,7.0,72.0,60.0
I Spit on Your Grave,R,2010-06-17,108,Steven R. Monroe,"Adam Rockoff, Meir Zarchi","Sarah Butler, Jeff Branson, Andrew Howard","A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead.",English,United States,2 nominations,27.0,6.3,81363,08 Feb 2011,93051.0,True,Horror,Sarah Butler,2000000.0,1278650.0,2010,6.3,32.0,27.0
The Last Airbender,PG,2010-07-01,103,M. Night Shyamalan,M. Night Shyamalan,"Noah Ringer, Nicola Peltz, Jackson Rathbone","Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",English,United States,8 wins & 12 nominations,20.0,4.0,160213,16 Nov 2010,131772187.0,True,Action,Noah Ringer,150000000.0,319713881.0,2010,4.0,5.0,20.0
How to Train Your Dragon,PG,2010-03-26,98,"Dean DeBlois, Chris Sanders","William Davies, Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",English,United States,Nominated for 2 Oscars. 25 wins & 63 nominations total,75.0,8.1,706987,17 Aug 2010,217581231.0,True,Animation,Jay Baruchel,165000000.0,494879471.0,2010,8.1,99.0,75.0
